2015-11-10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;2;2;NA;NA;2;2;2;2;2;NA;NA;2;2;NA;2;NA;4;4;4;4;4;4;4;5;5;6;6;7;7;NA;8;NA;NA;8;8;8;9;9;11;11;12;13;13;13;13;14;14;14;14;14;18;19;NA;19;19;NA;NA;NA;NA;NA;NA;NA;NA;19;19;NA;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;NA;19;19;19;NA;20;20;NA;21;21;21;21;NA;21;NA;NA;21;22;22;22;23;23;23;24;NA;24;24;24;24;24;24;NA;24;NA;25;25;25;25;NA;NA;NA;NA;NA;25;25;25;25;25;25;NA;25;25;25;25;25;NA;25;25;25;25;25;25;NA;25;25;25;NA;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;NA;25;25;25;25;NA;25;25;25;25;25;25;25;25;25;NA;25;25;25;25;25;25;NA;25;NA;25;25;25;NA;NA;25;25;25;25;25;25;NA;25;25;25;25;25;25;25;25;25;NA;25;25;NA;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;NA;25;25;25;25;NA;25;25;25;25;25;NA;25;25;25;25;25;NA;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;NA;NA;25;25;25;25;NA;25;NA;NA;NA;25;NA;25;25;25;25;25;25;NA;25;25;25;25;25;25;25;25;25;NA;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;NA;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;NA;NA;25;25;25;25;25;25;25;25;25;25;26;26;26;26;26;26;26;26;27;27;27;27;27;27;NA;27;27;27;NA;NA;27;27;27;27;27;27;27;27;NA;27;27;27;27;NA;27;NA;27;27;27;27;27;27;27;27;27;27;NA;27;27;27;27;27;NA;NA;NA;NA;27;27;NA;27;27;27;27;27;NA;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;NA;27;27;27;27;27;NA;27;27;27;27;31;31;31;31;NA;31;31;31;32;33;NA;33;33;33;33;33;33;33;33;33;33;NA;33;33;33;33;33;33;NA;33;NA;33;33;33;33;33;33;33;33;33
2015-11-11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;NA;NA;1;1;1;1;1;NA;NA;2;2;NA;2;NA;2;2;2;2;3;3;3;3;6;6;7;7;7;NA;7;NA;NA;7;8;9;10;12;12;13;14;14;14;14;14;14;14;14;14;14;14;15;NA;15;15;NA;NA;NA;NA;NA;NA;NA;NA;15;15;NA;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;NA;15;15;15;NA;16;16;NA;16;16;16;16;NA;16;NA;NA;16;16;16;17;17;18;19;19;NA;19;19;19;19;19;19;NA;19;NA;19;19;19;19;NA;NA;NA;NA;NA;19;19;19;19;19;19;NA;19;19;19;19;19;NA;19;19;19;19;19;19;NA;19;19;19;NA;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;NA;19;19;19;19;NA;19;19;19;19;19;19;19;19;19;NA;19;19;19;19;19;19;NA;19;NA;19;19;19;NA;NA;19;19;19;19;19;19;NA;19;19;19;19;19;19;19;19;19;NA;19;19;NA;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;NA;19;19;19;19;NA;19;19;19;19;19;NA;19;19;19;19;20;NA;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;NA;NA;20;20;20;20;NA;20;NA;NA;NA;20;NA;20;20;20;20;20;20;NA;20;20;20;20;20;20;20;20;20;NA;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;NA;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;NA;NA;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;NA;20;20;20;NA;NA;21;21;21;21;21;21;21;21;NA;22;22;22;22;NA;22;NA;22;22;22;22;22;22;22;22;22;22;NA;22;22;22;22;22;NA;NA;NA;NA;22;23;NA;23;23;23;23;23;NA;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;NA;23;23;23;23;23;NA;23;23;23;23;23;23;23;23;NA;23;23;23;25;25;NA;25;25;25;25;25;25;25;25;25;25;NA;25;25;25;25;25;25;NA;25;NA;25;25;25;25;25;25;25;25;25
2015-11-12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;1;1;1;NA;NA;1;1;1;1;1;NA;NA;1;1;NA;1;NA;1;1;1;1;1;1;1;2;2;2;3;4;4;NA;5;NA;NA;5;5;5;5;5;5;6;7;7;7;8;8;8;8;8;8;8;8;8;NA;8;8;NA;NA;NA;NA;NA;NA;NA;NA;8;9;NA;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;11;11;11;11;11;11;NA;11;11;11;NA;11;11;NA;11;11;12;12;NA;12;NA;NA;12;12;12;12;12;12;13;13;NA;13;13;13;13;13;13;NA;13;NA;14;14;14;14;NA;NA;NA;NA;NA;14;14;14;14;14;14;NA;14;14;14;14;14;NA;14;14;14;14;14;14;NA;14;14;14;NA;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;NA;14;14;14;14;NA;14;14;14;14;14;14;14;14;14;NA;14;14;14;14;14;14;NA;14;NA;14;14;14;NA;NA;14;14;14;14;14;14;NA;14;14;14;14;14;14;14;14;14;NA;14;14;NA;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;NA;14;14;14;14;NA;14;14;14;14;14;NA;14;14;14;14;14;NA;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;NA;NA;14;14;14;14;NA;14;NA;NA;NA;14;NA;14;14;14;14;14;14;NA;14;14;14;14;14;14;14;14;14;NA;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;NA;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;NA;NA;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;NA;14;14;14;NA;NA;14;14;14;14;14;14;14;14;NA;14;14;14;14;NA;14;NA;14;14;14;14;14;14;14;14;14;14;NA;14;14;14;14;14;NA;NA;NA;NA;14;14;NA;14;14;14;14;14;NA;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;NA;14;14;14;14;14;NA;14;14;14;14;14;14;14;14;NA;14;14;14;15;15;NA;15;15;15;15;15;15;15;15;15;15;NA;15;15;15;15;15;15;NA;15;NA;15;15;15;15;15;15;15;15;15
2015-11-13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;2;2;2;2;2;2;2;NA;4;NA;NA;4;4;4;5;5;8;8;10;10;10;11;11;11;11;11;11;11;12;12;NA;12;12;NA;NA;NA;NA;NA;NA;NA;NA;12;12;NA;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;NA;12;12;12;NA;13;13;NA;15;15;15;15;NA;15;NA;NA;16;16;16;16;16;16;16;16;NA;16;16;16;16;16;17;NA;17;NA;17;17;17;17;NA;NA;NA;NA;NA;17;17;17;17;17;17;NA;17;17;17;17;17;NA;17;17;17;17;17;17;NA;17;17;17;NA;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;NA;17;17;17;17;NA;17;17;17;17;17;17;17;17;17;NA;17;17;17;17;17;17;NA;17;NA;17;17;17;NA;NA;17;17;17;17;17;17;NA;17;17;17;17;17;17;17;17;17;NA;17;17;NA;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;NA;17;17;17;17;NA;17;17;17;17;17;NA;17;17;17;17;17;NA;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;NA;NA;17;17;17;17;NA;17;NA;NA;NA;17;NA;17;17;17;17;17;17;NA;17;17;17;17;17;17;17;17;17;NA;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;NA;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;NA;NA;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;NA;17;17;17;NA;NA;17;17;17;17;17;17;17;17;NA;17;17;17;17;NA;17;NA;17;17;17;17;17;17;17;17;17;17;NA;17;17;17;17;17;NA;NA;NA;NA;17;17;NA;17;17;17;17;17;NA;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;NA;17;17;17;17;17;NA;17;17;17;17;17;17;17;17;NA;17;17;17;17;17;NA;17;17;17;17;17;17;17;17;17;17;NA;17;17;17;17;17;17;NA;18;NA;18;18;18;18;18;18;18;18;18
2015-11-14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;1;1;2;2;NA;2;NA;NA;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;2;2;NA;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;2;2;NA;2;2;NA;2;2;2;2;NA;2;NA;NA;2;2;2;2;2;3;3;3;NA;3;3;3;3;3;3;NA;3;NA;3;3;3;3;NA;NA;NA;NA;NA;3;3;3;3;3;3;NA;3;3;3;3;3;NA;3;3;3;3;3;3;NA;3;3;3;NA;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;NA;3;3;3;3;NA;3;3;3;3;3;3;3;3;3;NA;3;3;3;3;3;3;NA;3;NA;3;3;3;NA;NA;3;3;3;3;3;3;NA;3;3;3;3;3;3;3;3;3;NA;3;3;NA;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;NA;3;3;3;3;NA;3;3;3;3;3;NA;3;3;3;3;3;NA;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;NA;NA;3;3;3;3;NA;3;NA;NA;NA;3;NA;3;3;3;3;3;3;NA;3;3;3;3;3;3;3;3;3;NA;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;NA;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;NA;NA;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;NA;3;3;3;NA;NA;3;3;3;3;3;3;3;3;NA;3;3;3;3;NA;3;NA;3;3;3;3;3;3;3;3;3;3;NA;3;3;3;3;3;NA;NA;NA;NA;3;3;NA;3;3;3;3;3;NA;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;NA;3;3;3;3;3;NA;3;3;3;3;3;3;3;3;NA;3;3;3;3;3;NA;3;3;3;3;3;3;3;3;3;3;NA;3;3;3;3;3;3;NA;3;NA;3;3;3;3;3;3;3;3;3
2015-11-15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;1;1;1;1;1;NA;1;NA;NA;1;1;1;1;1;1;2;2;2;2;2;2;3;3;3;3;3;3;3;NA;3;3;NA;NA;NA;NA;NA;NA;NA;NA;3;3;NA;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;NA;4;4;NA;4;4;4;4;NA;4;NA;NA;4;4;4;4;4;5;5;5;NA;5;5;5;5;5;5;NA;5;NA;5;5;5;5;NA;NA;NA;NA;NA;5;5;5;5;5;5;NA;5;5;5;5;5;NA;5;5;5;5;5;5;NA;5;5;5;NA;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;NA;5;5;5;5;NA;5;5;5;5;5;5;5;5;5;NA;5;5;5;5;5;5;NA;5;NA;5;5;5;NA;NA;5;5;5;5;5;5;NA;5;5;5;5;5;5;5;5;5;NA;5;5;NA;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;NA;5;5;5;5;NA;5;5;5;5;5;NA;5;5;5;5;5;NA;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;NA;NA;5;5;5;5;NA;5;NA;NA;NA;5;NA;5;5;5;5;5;5;NA;5;5;5;5;5;5;5;5;5;NA;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;NA;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;NA;NA;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;NA;5;5;5;NA;NA;5;5;5;5;5;5;5;5;NA;5;5;5;5;NA;5;NA;5;5;5;5;5;5;5;5;5;5;NA;5;5;5;5;5;NA;NA;NA;NA;5;5;NA;5;5;5;5;5;NA;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;NA;5;5;5;5;5;NA;5;5;5;5;5;5;5;5;NA;5;5;5;5;5;NA;5;5;5;5;5;5;5;5;5;5;NA;5;5;5;5;5;5;NA;5;NA;5;5;5;5;5;5;5;5;5
2015-11-16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;2;2;2;2;2;2;NA;NA;2;2;2;2;2;NA;NA;2;2;NA;2;NA;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;2;NA;NA;2;2;2;3;4;6;7;8;8;8;9;9;9;9;9;9;9;9;9;NA;9;9;NA;NA;NA;NA;NA;NA;NA;NA;9;9;NA;9;9;9;9;9;9;9;9;9;9;9;9;9;9;10;10;10;10;10;10;10;10;10;10;10;NA;10;10;10;NA;10;10;NA;11;11;11;12;NA;12;NA;NA;12;12;12;12;12;12;12;12;NA;12;12;12;12;12;12;NA;12;NA;13;13;13;13;NA;NA;NA;NA;NA;13;13;13;13;13;13;NA;13;13;13;13;13;NA;13;13;13;13;13;13;NA;13;13;13;NA;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;NA;13;13;13;13;NA;13;13;13;13;13;13;13;13;13;NA;13;13;13;13;13;13;NA;13;NA;13;13;13;NA;NA;13;13;13;13;13;13;NA;13;13;13;13;13;13;13;13;13;NA;13;13;NA;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;NA;13;13;13;13;NA;13;13;13;13;13;NA;13;13;13;13;13;NA;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;NA;NA;13;13;13;13;NA;13;NA;NA;NA;13;NA;13;13;13;13;13;13;NA;13;13;13;13;13;13;13;13;13;NA;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;NA;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;NA;NA;13;13;13;13;13;13;13;13;13;13;13;14;14;14;14;14;14;14;14;14;14;14;14;14;NA;14;14;14;NA;NA;14;14;14;14;14;14;14;14;NA;14;14;14;14;NA;14;NA;14;14;14;14;14;14;14;14;14;14;NA;14;14;14;14;14;NA;NA;NA;NA;14;14;NA;14;14;14;14;14;NA;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;NA;14;14;14;14;14;NA;14;14;14;14;15;15;15;15;NA;15;15;15;15;15;NA;15;15;15;15;15;15;15;15;15;15;NA;15;15;15;15;15;15;NA;15;NA;15;15;15;15;15;15;15;15;15
2015-11-17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;3;4;4;NA;5;NA;NA;5;5;5;6;7;7;7;8;8;9;10;10;10;10;10;10;10;10;10;NA;10;10;NA;NA;NA;NA;NA;NA;NA;NA;10;10;NA;10;10;10;10;10;10;10;10;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;NA;11;11;11;NA;12;12;NA;12;12;12;12;NA;12;NA;NA;12;12;12;12;12;12;13;13;NA;13;13;13;13;13;13;NA;13;NA;14;14;14;14;NA;NA;NA;NA;NA;14;14;14;14;14;14;NA;14;14;14;14;14;NA;14;14;14;14;14;14;NA;14;14;14;NA;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;NA;14;14;14;14;NA;14;14;14;14;14;14;14;14;14;NA;14;14;14;14;14;14;NA;14;NA;14;14;14;NA;NA;14;14;14;14;14;14;NA;14;14;14;14;14;14;14;14;14;NA;14;14;NA;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;NA;14;14;14;14;NA;14;14;14;14;14;NA;14;15;15;15;15;NA;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;NA;NA;15;15;15;15;NA;15;NA;NA;NA;15;NA;15;15;15;15;15;15;NA;15;15;15;15;15;15;15;15;15;NA;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;NA;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;NA;NA;15;15;16;16;16;16;16;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;NA;17;17;17;NA;NA;17;17;17;17;17;17;17;17;NA;17;17;17;17;NA;17;NA;17;17;17;17;17;17;17;17;17;17;NA;17;17;17;17;17;NA;NA;NA;NA;17;18;NA;18;18;18;18;18;NA;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;NA;18;18;18;18;18;NA;18;18;18;18;18;19;19;19;NA;19;19;19;19;19;NA;19;19;19;19;19;19;19;19;19;19;NA;19;19;19;19;19;19;NA;19;NA;19;19;19;19;19;19;19;19;19
2015-11-18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;2;2;2;NA;2;NA;NA;3;3;3;4;4;5;5;6;6;6;6;6;7;7;7;8;8;8;8;NA;8;8;NA;NA;NA;NA;NA;NA;NA;NA;8;8;NA;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;NA;8;8;8;NA;8;8;NA;8;8;8;8;NA;8;NA;NA;8;8;8;8;8;8;8;8;NA;8;8;8;8;8;8;NA;8;NA;8;8;8;8;NA;NA;NA;NA;NA;8;8;8;8;8;8;NA;8;8;8;8;8;NA;8;8;8;8;8;8;NA;8;8;8;NA;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;NA;8;8;8;8;NA;8;8;8;8;8;8;8;8;8;NA;8;8;8;8;8;8;NA;8;NA;8;8;8;NA;NA;8;8;8;8;8;8;NA;8;8;8;8;8;8;8;8;8;NA;8;8;NA;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;NA;8;8;8;8;NA;8;8;8;8;8;NA;8;8;8;8;8;NA;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;NA;NA;8;8;8;8;NA;8;NA;NA;NA;8;NA;8;8;8;8;8;8;NA;8;8;8;8;8;8;8;8;8;NA;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;NA;8;8;8;8;8;8;8;9;9;9;9;9;9;9;9;9;9;NA;NA;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;NA;9;9;9;NA;NA;9;9;9;9;9;9;9;9;NA;9;9;9;9;NA;9;NA;9;9;9;9;9;9;9;9;9;9;NA;9;9;9;9;9;NA;NA;NA;NA;9;9;NA;9;9;9;9;9;NA;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;10;10;NA;10;10;10;10;10;NA;10;10;10;10;12;12;12;12;NA;12;12;12;12;12;NA;12;12;12;12;12;12;12;12;12;12;NA;12;12;12;12;12;12;NA;12;NA;12;12;12;12;12;13;13;13;13
2015-11-19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;2;3;4;4;5;5;NA;6;NA;NA;6;6;6;7;7;7;7;8;8;8;8;9;9;9;9;9;9;10;10;NA;10;10;NA;NA;NA;NA;NA;NA;NA;NA;10;10;NA;10;10;10;10;10;10;10;10;10;10;10;10;11;11;12;12;12;12;12;12;12;12;12;12;12;NA;12;12;12;NA;12;12;NA;13;13;13;13;NA;13;NA;NA;13;13;13;13;13;14;14;15;NA;15;15;15;15;15;15;NA;15;NA;16;16;16;16;NA;NA;NA;NA;NA;16;16;16;16;16;16;NA;16;16;16;16;16;NA;16;16;16;16;16;16;NA;16;16;16;NA;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;NA;16;16;16;16;NA;16;16;16;16;16;16;16;16;16;NA;16;16;16;16;16;16;NA;16;NA;16;16;16;NA;NA;16;16;16;16;16;16;NA;16;16;16;16;16;16;16;16;16;NA;16;16;NA;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;NA;16;16;16;16;NA;16;16;16;16;16;NA;16;16;16;16;16;NA;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;NA;NA;16;16;16;16;NA;16;NA;NA;NA;16;NA;16;16;16;16;16;16;NA;16;16;16;16;16;16;16;16;16;NA;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;NA;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;NA;NA;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;NA;16;16;16;NA;NA;16;16;16;16;16;16;16;16;NA;16;16;16;16;NA;16;NA;16;16;16;16;16;16;16;16;16;16;NA;16;16;16;16;16;NA;NA;NA;NA;16;16;NA;16;16;16;16;16;NA;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;NA;16;17;17;17;17;NA;17;17;17;17;17;17;17;17;NA;17;17;17;17;17;NA;17;17;17;17;17;17;17;17;17;17;NA;17;17;17;17;17;17;NA;17;NA;17;18;18;18;18;20;20;20;20
2015-11-20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;2;2;3;3;NA;4;NA;NA;4;4;4;5;5;5;5;6;6;6;6;7;7;8;8;8;8;8;8;NA;9;9;NA;NA;NA;NA;NA;NA;NA;NA;9;9;NA;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;NA;9;9;9;NA;9;9;NA;9;9;9;9;NA;9;NA;NA;9;9;9;9;9;10;10;10;NA;10;10;10;10;10;10;NA;10;NA;10;10;10;10;NA;NA;NA;NA;NA;10;10;10;10;10;10;NA;10;10;10;10;10;NA;10;10;10;10;10;10;NA;10;10;10;NA;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;NA;10;10;10;10;NA;10;10;10;10;10;10;10;10;10;NA;10;10;10;10;10;10;NA;10;NA;10;10;10;NA;NA;10;10;10;10;10;10;NA;10;10;10;10;10;10;10;10;10;NA;10;10;NA;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;NA;10;10;10;10;NA;10;10;10;10;10;NA;10;10;10;10;10;NA;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;NA;NA;10;10;10;10;NA;10;NA;NA;NA;10;NA;10;10;10;10;10;10;NA;10;10;10;10;10;10;10;10;10;NA;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;NA;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;NA;NA;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;NA;10;10;10;NA;NA;10;10;10;10;10;10;10;10;NA;10;10;10;10;NA;10;NA;10;10;10;10;10;10;10;10;10;10;NA;10;10;10;10;10;NA;NA;NA;NA;10;10;NA;10;10;10;10;10;NA;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;NA;10;10;10;10;10;NA;11;11;11;11;22;23;23;23;NA;23;23;23;23;23;NA;23;23;23;23;23;23;23;23;23;23;NA;23;23;23;23;23;23;NA;23;NA;23;23;23;23;23;23;23;23;23
